file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\FundAccount.java,com.razorpay.FundAccount,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\ValidationConfig.java,com.razorpay.ValidationConfig,class,1,4,3,1,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\PaymentLinkTest.java,com.razorpay.PaymentLinkTest,class,7,7,0,7,12,2,0,18,0,0.083333336,1.0,1.0,6,0,6,0,0,0,6,0,0,0,2,1,0,1,1,0,1,0,4,116,0,0,0,6,0,49,10,22,3,22,1,0,0,0,90,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\RazorpayClientTest.java,com.razorpay.RazorpayClientTest,class,8,8,0,8,6,2,0,11,1,0.5,0.0,0.0,2,0,2,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,51,0,0,0,3,0,52,2,12,5,12,1,0,0,0,66,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\PaymentLink.java,com.razorpay.PaymentLink,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Addon.java,com.razorpay.Addon,class,2,6,4,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\PaymentClientTest.java,com.razorpay.PaymentClientTest,class,10,10,0,10,44,2,0,35,0,0.53636366,1.0,1.0,22,0,22,0,0,0,22,0,0,0,5,4,0,4,1,0,4,0,13,424,0,0,0,22,0,640,41,84,46,84,1,0,0,0,141,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\DocumentClient.java,com.razorpay.DocumentClient,class,3,5,2,3,3,2,0,3,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Stakeholder.java,com.razorpay.Stakeholder,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\SubscriptionClientTest.java,com.razorpay.SubscriptionClientTest,class,10,11,1,10,21,2,0,31,0,0.7142858,1.0,1.0,21,0,13,8,0,0,13,0,0,0,11,10,10,1,0,0,10,0,10,158,8,0,0,0,0,194,27,39,13,39,0,0,0,0,91,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Dispute.java,com.razorpay.Dispute,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Card.java,com.razorpay.Card,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\StakeholderClient.java,com.razorpay.StakeholderClient,class,4,6,2,4,7,2,0,5,21,0.0,0.0,0.0,7,0,6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,6,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Item.java,com.razorpay.Item,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Order.java,com.razorpay.Order,class,2,5,3,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Utils.java,com.razorpay.Utils,class,4,6,2,4,17,1,0,25,45,0.0,0.0,0.0,10,10,9,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12,86,11,2,3,2,0,16,12,30,3,29,2,0,0,0,80,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\SubscriptionClient.java,com.razorpay.SubscriptionClient,class,5,8,3,5,14,2,0,8,91,0.0,0.0,0.0,14,0,13,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,9,44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Document.java,com.razorpay.Document,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\PaymentClient.java,com.razorpay.PaymentClient,class,10,13,3,10,28,2,0,14,366,0.85714287,0.015873017,0.015873017,28,0,27,0,0,1,28,0,0,0,1,0,0,1,0,0,0,0,15,89,27,0,0,0,0,0,0,2,0,2,0,0,0,0,46,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Settlement.java,com.razorpay.Settlement,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\VirtualAccountClientTest.java,com.razorpay.VirtualAccountClientTest,class,8,8,0,8,16,2,0,21,0,0.4375,1.0,1.0,8,0,8,0,0,0,8,0,0,0,6,5,0,5,1,0,5,0,6,142,0,0,0,8,0,365,14,27,13,27,1,0,0,0,88,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\InvoiceClientTest.java,com.razorpay.InvoiceClientTest,class,7,7,0,7,18,2,0,22,0,0.16666667,1.0,1.0,9,0,9,0,0,0,9,0,0,0,2,1,0,1,1,0,1,0,7,159,0,0,0,9,0,49,11,32,4,32,1,0,0,0,126,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\FundAccountClientTest.java,com.razorpay.FundAccountClientTest,class,7,7,0,7,6,2,0,14,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,1,0,1,1,0,1,0,2,50,0,0,0,3,0,59,4,12,4,12,1,0,0,0,63,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\FundAccountClient.java,com.razorpay.FundAccountClient,class,4,7,3,4,5,2,0,5,10,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\BankAccountClient.java,com.razorpay.BankAccountClient,class,1,2,1,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Token.java,com.razorpay.Token,class,2,6,4,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\TransferClient.java,com.razorpay.TransferClient,class,5,8,3,5,8,2,0,6,28,0.0,0.0,0.0,8,0,7,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,4,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Plan.java,com.razorpay.Plan,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\InvoiceClient.java,com.razorpay.InvoiceClient,class,4,7,3,4,11,2,0,7,55,0.0,0.0,0.0,11,0,10,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,6,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\SettlementClient.java,com.razorpay.SettlementClient,class,4,7,3,4,10,2,0,7,45,0.0,0.0,0.0,10,0,9,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,2,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\PayloadValidator.java,com.razorpay.PayloadValidator,class,5,8,3,5,24,1,0,19,28,0.0,NaN,NaN,8,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,85,0,2,0,0,0,13,0,12,0,12,2,0,0,0,44,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\PaymentLinkClient.java,com.razorpay.PaymentLinkClient,class,4,7,3,4,8,2,0,6,28,0.0,0.0,0.0,8,0,7,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,4,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\OrderClientTest.java,com.razorpay.OrderClientTest,class,9,9,0,9,14,2,0,21,0,0.071428575,1.0,1.0,7,0,7,0,0,0,7,0,0,0,2,1,0,1,1,0,1,0,5,154,0,0,0,7,0,162,13,32,8,32,1,0,0,0,86,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\BaseTest.java,com.razorpay.BaseTest,class,12,39,27,12,13,1,26,39,31,0.8,0.10714286,0.10714286,10,1,1,2,7,0,8,0,0,0,3,1,0,1,0,2,1,0,2,77,4,0,0,1,0,10,1,15,1,17,1,0,0,1,75,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Webhook.java,com.razorpay.Webhook,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\DisputeClientTest.java,com.razorpay.DisputeClientTest,class,8,8,0,8,8,2,0,18,0,0.125,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,1,0,1,1,0,1,0,3,210,0,0,0,4,0,164,24,28,0,28,1,0,0,0,69,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\RefundClient.java,com.razorpay.RefundClient,class,4,8,4,4,8,2,0,7,28,0.0,0.0,0.0,8,0,7,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,3,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\DocumentClientTest.java,com.razorpay.DocumentClientTest,class,7,7,0,7,4,2,0,14,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,1,55,0,0,0,2,0,40,2,9,0,9,1,0,0,0,51,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Payment.java,com.razorpay.Payment,class,2,8,6,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\ValidationType.java,com.razorpay.ValidationType,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\WebhookClient.java,com.razorpay.WebhookClient,class,4,7,3,4,7,2,0,7,21,0.0,0.0,0.0,7,0,6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,5,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\OrderClient.java,com.razorpay.OrderClient,class,5,9,4,5,9,2,0,6,36,0.0,0.0,0.0,9,0,8,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,5,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\ApiClient.java,com.razorpay.ApiClient,class,9,36,27,9,46,1,26,46,183,0.9034091,0.24175824,0.24175824,22,0,9,8,0,5,14,0,0,0,8,0,0,7,0,1,7,0,10,190,26,1,6,6,0,23,5,42,3,35,2,0,0,0,76,0,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\RazorpayException.java,com.razorpay.RazorpayException,class,0,5,5,0,4,3,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Reversal.java,com.razorpay.Reversal,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\BankTransfer.java,com.razorpay.BankTransfer,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Methods.java,com.razorpay.Methods,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\OAuthTokenClient.java,com.razorpay.OAuthTokenClient,class,9,11,2,9,17,2,0,26,49,0.83766234,0.0,0.0,14,0,5,9,0,0,5,0,0,0,11,10,0,1,0,10,11,0,21,77,9,2,0,0,0,24,1,19,0,18,1,0,0,0,63,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\BankAccount.java,com.razorpay.BankAccount,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\IinClient.java,com.razorpay.IinClient,class,3,5,2,3,3,2,0,2,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\ItemClient.java,com.razorpay.ItemClient,class,4,7,3,4,7,2,0,7,21,0.0,0.0,0.0,7,0,6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,3,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\IinClientTest.java,com.razorpay.IinClientTest,class,8,8,0,8,4,2,0,14,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,1,38,0,0,0,2,0,35,3,9,1,9,1,0,0,0,46,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\QrCodeClientTest.java,com.razorpay.QrCodeClientTest,class,8,9,1,8,13,2,0,19,0,0.3809524,1.0,1.0,7,0,6,1,0,0,6,0,0,0,3,2,0,2,1,0,2,0,2,109,1,0,0,6,0,174,10,22,9,22,1,0,0,0,80,1,0
