file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Git_Projects\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\http\server\echo\Server.java,io.vertx.example.rxjava3.http.server.echo.Server,class,5,6,1,5,3,2,0,11,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,3,1,3,0,5,2,0,0,2,16,1,0
E:\Git_Projects\vertx-examples\core-examples\src\main\java\io\vertx\example\core\net\greeter\Server.java,io.vertx.example.core.net.greeter.Server,class,4,5,1,4,2,2,0,14,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,7,1,2,1,6,2,0,0,4,18,1,0
E:\Git_Projects\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\eventbus\pubsub\Sender.java,io.vertx.example.reactivex.eventbus.pubsub.Sender,class,3,4,1,3,2,2,0,5,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,1,1,0,2,0,0,0,1,11,1,0
E:\Git_Projects\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\web\client\zip\Server.java,io.vertx.example.rxjava3.web.client.zip.Server,class,4,5,1,4,2,2,0,11,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,1,1,0,2,1,0,0,1,12,1,0
E:\Git_Projects\vertx-examples\virtual-threads-examples\src\main\java\io\vertx\example\virtualthreads\MovieRatingService.java,io.vertx.example.virtualthreads.MovieRatingService,class,7,8,1,7,7,2,0,35,0,0.3,0.0,0.0,5,1,2,3,0,0,2,0,0,0,2,1,0,2,0,0,1,0,2,47,0,0,2,0,0,39,8,11,0,12,1,0,0,1,54,1,0
E:\Git_Projects\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\web\client\unmarshalling\Server.java,io.vertx.example.rxjava3.web.client.unmarshalling.Server,class,3,4,1,3,2,2,0,8,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,1,1,0,2,1,0,0,1,10,1,0
E:\Git_Projects\vertx-examples\grpc-examples\src\main\java\io\vertx\example\grpc\producer\Server.java,io.vertx.example.grpc.producer.Server,class,3,4,1,3,2,2,0,20,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,1,1,0,5,2,0,0,4,13,1,0
E:\Git_Projects\vertx-examples\web-api-service-example\src\main\java\io\vertx\examples\webapiservice\persistence\TransactionPersistence.java,io.vertx.examples.webapiservice.persistence.TransactionPersistence,interface,3,8,5,3,6,1,0,0,15,0.0,0.0,0.0,6,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
E:\Git_Projects\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\http\client\unmarshalling\Client.java,io.vertx.example.rxjava3.http.client.unmarshalling.Client$Data,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,8,0
E:\Git_Projects\vertx-examples\web-api-service-example\src\main\java\io\vertx\examples\webapiservice\services\impl\TransactionsManagerServiceImpl.java,io.vertx.examples.webapiservice.services.impl.TransactionsManagerServiceImpl,class,9,11,2,9,13,1,0,28,0,0.14285715,1.0,1.0,7,0,6,1,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,40,1,0,3,0,0,4,4,5,0,10,1,0,0,5,33,1,0
